Univ,College,Major,Continent,Country,Foreign Univ,Semester,Url
KHU,이과대학,지리학과,etc,미국} University of North Carolina.,[미국} University of North Carolina..,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3921&b_code=12&page=130&s1=&s2=&b_ex1=&idx_no=1117&perpage=15
KHU,외국어대학,일본어학과,Europe,영국,University of Manchester,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3919&b_code=12&page=130&s1=&s2=&b_ex1=&idx_no=1116&perpage=15
KHU,생명과학대학,식품생명공학과,Northern America,미국,University of North Carolina ..,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3918&b_code=12&page=131&s1=&s2=&b_ex1=&idx_no=1115&perpage=15
KHU,이과대학,정보디스플레이학과,Northern America,미국,University of North Carolina ..,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3917&b_code=12&page=131&s1=&s2=&b_ex1=&idx_no=1114&perpage=15
KHU,국제대학,국제학과,Europe,영국,University of Leeds,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3916&b_code=12&page=131&s1=&s2=&b_ex1=&idx_no=1113&perpage=15
KHU,약학대학,한약학과,Northern America,미국,University of North Carolina ..,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3915&b_code=12&page=131&s1=&s2=&b_ex1=&idx_no=1112&perpage=15
KHU,국제대학,국제학과,Europe,영국,University of Leeds,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3914&b_code=12&page=131&s1=&s2=&b_ex1=&idx_no=1111&perpage=15
KHU,예술·디자인대학,도예학과,Europe,영국,University of Manchester,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3913&b_code=12&page=131&s1=&s2=&b_ex1=&idx_no=1110&perpage=15
KHU,공과대학,건축공학과,Northern America,미국,University of North Carolina ..,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3912&b_code=12&page=131&s1=&s2=&b_ex1=&idx_no=1109&perpage=15
KHU,생명과학대학,식품생명공학과,Europe,영국,University of Leeds,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3911&b_code=12&page=131&s1=&s2=&b_ex1=&idx_no=1108&perpage=15
KHU,국제대학,국제학과,Europe,영국,University of Leeds,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3910&b_code=12&page=131&s1=&s2=&b_ex1=&idx_no=1107&perpage=15
KHU,생명과학대학,식품생명공학과,Northern America,미국,University of North Carolina ..,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3909&b_code=12&page=131&s1=&s2=&b_ex1=&idx_no=1106&perpage=15
KHU,공과대학,정보전자신소재공학과,Northern America,미국,University of North Carolina ..,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3908&b_code=12&page=131&s1=&s2=&b_ex1=&idx_no=1105&perpage=15
KHU,외국어대학,글로벌커뮤니케이션학부,Europe,영국,University of Manchester,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3907&b_code=12&page=131&s1=&s2=&b_ex1=&idx_no=1104&perpage=15
KHU,약학대학,한약학과,etc,맨체스터 대학,맨체스터 대학교,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3906&b_code=12&page=131&s1=&s2=&b_ex1=&idx_no=1103&perpage=15
KHU,외국어대학,일본어학과,Asia,일본,나고야대학 名古屋大学,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3905&b_code=12&page=131&s1=&s2=&b_ex1=&idx_no=1102&perpage=15
KHU,약학대학,한약학과,Europe,영국,University of Manchester,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3904&b_code=12&page=131&s1=&s2=&b_ex1=&idx_no=1101&perpage=15
KHU,생활과학대학,식품영양학과,Europe,영국,University of Leeds,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3903&b_code=12&page=132&s1=&s2=&b_ex1=&idx_no=1100&perpage=15
KHU,생명과학대학,원예생명공학과,Europe,영국,University of Manchester,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3902&b_code=12&page=132&s1=&s2=&b_ex1=&idx_no=1099&perpage=15
KHU,공과대학,화학공학과,Northern America,미국,University of North Carolina ..,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3901&b_code=12&page=132&s1=&s2=&b_ex1=&idx_no=1098&perpage=15
KHU,정경대학,정치외교학과,Europe,리투아니아,Kaunas University of T..,2015-2,http://oiak.khu.ac.kr/program/notice_view.php?idx=3900&b_code=12&page=132&s1=&s2=&b_ex1=&idx_no=1097&perpage=15
